firstname,num_games_2013,avg_points_2013,num_games_2014,avg_points_2014,num_games_2015,avg_points_2015,num_games_2016wc,avg_points_2016wc,num_games_2016,avg_points_2016
"Ashish Reddy",10,27,0,,6,38,,,4,28
"Bhuvneshwar Kumar",16,53,14,73,14,61,,,17,62
"Dale Steyn",17,73,14,52,6,28,2,17,1,2
"Ishant Sharma",16,31,3,33,4,9,,,4,19
"Jason Holder",6,22,1,60,,,,,4,24
"Karn Sharma",13,45,14,53,14,43,,,5,8
"Angelo Mathews",11,49,,,10,55,3,69,,
"Azhar Mahmood",11,86,,,1,6,,,,
"Sumit Narwal",2,24,,,0,,,,,
"Johan Botha",6,49,,,4,41,,,,
"Brad Hogg",1,4,,,6,66,,,5,37
"Abhimanyu Mithun",1,29,,,0,,,,,
"Subramaniam Badrinath",8,21,,,0,,,,,
"Chris Morris",16,36,,,11,69,3,81,12,81
"Sagar Trivedi",17,40,,,0,,,,,
"Eoin Morgan",13,39,,,9,42,6,28,7,29
"Hanuma Vihari",17,24,,,5,17,,,,
"Bipul Sharma",1,60,,,4,34,,,7,31
"Sandeep Sharma","",0,11,72,14,55,,,14,42
"Vinay Kumar",16,57,9,33,13,34,,,3,51
"Faf du Plessis",,,15,42,17,41,4,42,6,58
"Baba Aparajith",,,0,,0,,,,,
"John Hastings",,,1,27,,,1,13,2,60
"Vijay Shankar",,,1,-4,,,,,,
"Ben Hilfenhaus",,,8,40,0,,,,,
"Matt Henry",,,0,,0,,,,,
"Ronit More",,,0,,2,17,,,,
"Kevin Pietersen",,,11,41,0,,,,4,27
"Milind Kumar",,,0,,,,,,,
"JP Duminy",,,14,67,13,76,2,87,10,37
"Jimmy Neesham",,,4,19,0,,,,,
"HS Sharath",,,0,,,,,,,
"Imran Tahir",,,6,53,10,54,4,66,4,40
"Rahul Sharma",,,2,9,0,,,,,
"Chris Lynn",,,2,66,0,,,,2,22
"Suryakumar Yadav",,,16,24,13,25,,,15,25
"Kuldeep Yadav",,,0,,0,,,,3,64
"Shakib Al Hasan",,,13,81,4,51,4,81,10,41
"Pat Cummins",,,1,71,3,19,,,,
"Sayan Mondal",,,0,,,,,,,
"Umesh Yadav",,,12,48,12,45,,,9,34
"Veer Pratap Singh",,,0,,0,,,,,
"George Bailey",,,17,35,13,34,,,6,18
"Shivam Sharma",,,4,45,1,11,,,,
"Anureet Singh",,,0,,14,42,,,2,11
"Beuran Hendricks",,,3,41,4,46,,,,
