598067,35582,RV Uthappa,24,20,0
598067,5334,AJ Finch,52,34,4
598067,290630,MK Pandey,10,14,1
598067,36084,Yuvraj Singh,3,7,0
598067,49764,AD Mathews,30,22,2
598067,23460,LJ Wright,44,23,1
598067,28846,RV Gomez,4,1,0
598067,49289,DPMD Jayawardene,14,13,0
598067,219889,DA Warner,2,5,0
598067,27685,B Chipli,16,18,1
598067,35263,V Sehwag,11,10,0
598067,7547,BJ Rohrer,7,9,0
598067,32685,IK Pathan,24,28,0
598067,302208,CM Gautam,30,23,1
598067,46538,M Morkel,0,1,0
598067,376116,UT Yadav,8,9,0
598067,31872,S Nadeem,6,5,0
598067,326017,S Kaul,0,0,0
