598022,28763,G Gambhir,25,19,0
598022,32498,YK Pathan,25,22,0
598022,45789,JH Kallis,0,0,0
598022,24598,EJG Morgan,2,7,0
598022,35565,MK Tiwary,13,18,0
598022,328163,DB Das,19,15,2
598022,26907,R Bhatia,1,10,0
598022,34019,LR Shukla,1,3,0
598022,273439,SMSM Senanayake,7,13,0
598022,230558,SP Narine,13,6,2
598022,26829,L Balaji,9,7,0
598022,5939,MEK Hussey,40,51,1
598022,26421,R Ashwin,11,13,0
598022,237095,M Vijay,2,5,0
598022,33335,SK Raina,7,8,0
598022,28081,MS Dhoni,9,7,0
598022,26806,S Badrinath,6,13,0
598022,234675,RA Jadeja,36,14,3
598022,51439,DJ Bravo,7,4,0
