598021,398506,Mandeep Singh,10,11,0
598021,5390,AC Gilchrist,26,25,0
598021,35630,PC Valthaty,6,17,0
598021,5766,DJ Hussey,22,24,1
598021,32966,PP Chawla,23,15,2
598021,537124,Gurkeerat Singh,17,12,1
598021,39024,Azhar Mahmood,4,4,0
598021,317293,MS Gony,0,0,0
598021,532856,M Vohra,0,1,0
598021,16932,AD Mascarenhas,5,5,0
598021,30732,P Kumar,3,6,0
598021,379143,Q de Kock,0,4,0
598021,376109,PA Reddy,19,17,0
598021,452044,GH Vihari,46,39,0
598021,8291,CL White,16,23,0
598021,430125,BB Samantray,10,12,0
598021,233514,NLTC Perera,23,11,3
598021,389605,A Ashish Reddy,7,7,0
