"David Hussey",5,51,,
"John Hastings",1,27,,
"Vijay Shankar",1,-4,,
"Milind Kumar",0,,,
"Ross Taylor",4,23,,
"HS Sharath",0,,,
"Rahul Shukla",3,30,,
"Wayne Parnell",8,43,,
"Debabrata Das",0,,,
"Jacques Kallis",8,53,,
"Sayan Mondal",0,,,
"Cheteshwar Pujara",6,28,,
"Lakshmipathy Balaji",9,49,,
"Murali Kartik",2,15,,
"Apporv Wankhade",0,,,
"Ben Dunk",3,28,,
"Sushant Marathe",0,,,
"Krishmar Santokie",2,43,,
"Tanmay Mishra",0,,,
"Muttiah Muralitharan",5,32,,
"Ravi Rampaul",2,45,,
"Sachin Rana",9,15,,
"Shadab Jakati",1,-4,,
"Brad Hodge",4,49,,
"Kevon Cooper",5,55,,
"A Mishra",0,,,
"Manpreet Juneja",0,,,
"Srikkanth Anirudha",1,1,,
"Venugopal Rao",7,18,,
"Amit Paunikar",0,,,
"Brendan Taylor",0,,,
"Jason Holder",1,60,,
"Prasanth Parameswaran",0,,,
