firstname,team_id,team,firstname,num_games_2013,avg_points_2013,num_games_2014,avg_points_2014,num_games_2015,avg_points_2015,num_games_2016wc,avg_points_2016wc
"Suryakumar Yadav",3,KKR,"Suryakumar Yadav",,,16,24,13,25,,
"Umesh Yadav",3,KKR,"Umesh Yadav",,,12,48,12,45,,
"Rohit Sharma",4,MI,"Rohit Sharma",19,51,15,51,16,58,5,29
"Corey Anderson",4,MI,"Corey Anderson",,,12,55,4,58,5,48
"Jasprit Bumrah",4,MI,"Jasprit Bumrah",2,45,11,35,4,10,5,32
"Jos Buttler",4,MI,"Jos Buttler",,,,,,,6,65
"Unmukt Chand",4,MI,"Unmukt Chand",9,25,1,-5,6,32,,
"Marchant de Lange",4,MI,"Marchant de Lange",,,1,70,1,52,,
"Shreyas Gopal",4,MI,"Shreyas Gopal",,,4,61,1,20,,
"Harbhajan Singh",4,MI,"Harbhajan Singh",19,68,14,62,15,70,,
"Kishore Kamath",4,MI,,,,,,,,,
"Siddhesh Lad",4,MI,,,,,,,,,
"Mitchell McClenaghan",4,MI,"Mitchell McClenaghan",,,,,12,65,4,56
"Lasith Malinga",4,MI,"Lasith Malinga",17,50,10,70,15,73,,
"Hardik Pandya",4,MI,"Hardik Pandya",,,,,9,43,5,47
"Krunal Pandya",4,MI,,,,,,,,,
"Parthiv Patel",4,MI,"Parthiv Patel",,,12,41,14,51,,
"Kieron Pollard",4,MI,"Kieron Pollard",18,62,15,39,16,64,,
"Deepak Punia",4,MI,,,,,,,,,
"Nitish Rana",4,MI,"Nitish Rana",,,,,0,,,
"Jitesh Sharma",4,MI,,,,,,,,,
"Ambati Rayudu",4,MI,"Ambati Rayudu",17,23,15,45,15,42,,
"Lendl Simmons",4,MI,"Lendl Simmons",,,8,91,13,75,2,102
"Tim Southee",4,MI,"Tim Southee",,,3,31,6,42,,
"Jagadeesha Suchith",4,MI,,,,,,,,,
"Vinay Kumar",4,MI,"Vinay Kumar",16,57,9,33,13,34,,
"Akshay Wakhare",4,MI,"Akshay Wakhare",,,,,0,,,
"MS Dhoni",5,RPS,"MS Dhoni",16,57,16,47,17,48,5,44
"Ankit Sharma",5,RPS,"Ankit Sharma",1,7,3,76,4,35,,
"Baba Aparajith",5,RPS,"Baba Aparajith",,,0,,0,,,
"Ravichandran Ashwin",5,RPS,"Ravichandran Ashwin",18,44,16,55,14,54,5,46
"Murugan Ashwin",5,RPS,,,,,,,,,
"Ankush Bains",5,RPS,"Ankush Bains",,,0,,0,,,
"Rajat Bhatia",5,RPS,"Rajat Bhatia",15,38,12,56,2,5,,
"Scott Boland",5,RPS,,,,,,,,,
"Deepak Chahar",5,RPS,,,,,,,,,
"Ashok Dinda",5,RPS,"Ashok Dinda",13,40,9,25,1,12,,
"Francois du Plessis",5,RPS,"Francois du Plessis",,,15,42,17,41,4,42
"Peter Handscomb",5,RPS,,,,,,,,,
"Jaskaran Singh",5,RPS,,,,,,,,,
"Mitchell Marsh",5,RPS,"Mitchell Marsh",,,,,,,2,43
"Albie Morkel",5,RPS,"Albie Morkel",8,51,7,36,4,61,,
