598000,376109,PA Reddy,27,30,0
598000,32242,PA Patel,19,18,0
598000,50710,KC Sangakkara,15,16,0
598000,8291,CL White,10,18,0
598000,233514,NLTC Perera,30,18,1
598000,452044,GH Vihari,11,12,0
598000,389605,A Ashish Reddy,7,4,0
598000,237701,DB Ravi Teja,4,4,0
598000,35582,RV Uthappa,24,22,1
598000,290630,MK Pandey,15,29,0
598000,52983,MN Samuels,5,9,0
598000,36084,Yuvraj Singh,2,5,0
598000,38699,LRPL Taylor,19,19,0
598000,32091,AM Nayar,19,14,0
598000,49764,AD Mathews,8,6,0
598000,272450,MR Marsh,7,3,1
598000,326016,B Kumar,3,3,0
598000,272994,R Sharma,0,1,0
598000,227712,AB Dinda,0,2,0
