598010,219889,DA Warner,0,4,0
598010,35263,V Sehwag,12,10,0
598010,49289,DPMD Jayawardene,12,14,1
598010,390480,MC Juneja,15,22,0
598010,44149,J Botha,9,14,0
598010,32685,IK Pathan,23,30,0
598010,290716,KM Jadhav,30,20,2
598010,46538,M Morkel,0,1,0
598010,31872,S Nadeem,0,1,0
598010,376116,UT Yadav,6,5,0
598010,376109,PA Reddy,1,8,0
598010,32242,PA Patel,19,19,0
598010,50710,KC Sangakkara,28,28,0
598010,452044,GH Vihari,17,23,1
598010,8291,CL White,4,8,0
598010,233514,NLTC Perera,2,3,0
598010,389605,A Ashish Reddy,16,9,0
598010,31107,A Mishra,16,14,0
598010,47492,DW Steyn,9,5,0
