firstname,num_games_2013,avg_points_2013,num_games_2014,avg_points_2014,num_games_2015,avg_points_2015,num_games_2016,avg_points_2016
"Ajinkya Rahane",18,43,13,47,13,75,,
"Brad Hodge",14,38,4,49,,,,
"Unmukt Chand",9,25,1,-5,6,32,,
"Abhishek Nayar",10,15,5,14,0,,,
"Karun Nair",2,4,11,56,13,24,,
"Steve Smith",7,39,10,34,13,44,4,32
"Sanju Samson",10,34,13,53,13,35,,
"Ben Cutting",,,1,81,0,,,
"Rajat Bhatia",15,38,12,56,2,5,,
"Shane Watson",16,96,13,57,9,95,4,91
"Stuart Binny",17,47,13,25,12,29,,
"Ankush Bains",,,0,,0,,,
"Dishant Yagnik",9,22,1,12,0,,,
"Ankit Sharma",1,7,3,76,4,35,,
"James Faulkner",16,81,13,60,12,53,4,94
"Kevon Cooper",14,53,5,55,,,,
"A Mishra",,,0,,,,,
"Deepak Hooda",,,0,,13,30,,
"Dhawal Kulkarni",6,49,8,49,10,56,,
"Iqbal Abdulla",5,52,1,19,5,48,,
"Kane Richardson",3,42,7,58,0,,,
"Pravin Tambe",3,21,13,57,9,39,,
"Rahul Tewatia",,,3,45,1,37,,
"Tim Southee",,,3,31,6,42,,
"Vikramjeet Malik",3,46,1,35,0,,,
"Aaron Finch",14,58,13,43,3,4,2,41
"David Warner",16,45,14,75,14,85,4,16
"Manpreet Juneja",7,24,0,,,,,
"Ricky Bhui",,,0,,0,,,
"Shikhar Dhawan",10,50,14,44,14,44,4,27
"Srikkanth Anirudha",1,-2,1,1,,,,
"Venugopal Rao",,,7,18,,,,
"Lokesh Rahul",2,15,11,24,9,26,,
"Darren Sammy",10,66,10,28,2,14,4,20
"Irfan Pathan",15,49,10,27,0,,,
"Moises Henriques",10,51,4,33,9,108,,
"Amit Paunikar",,,0,,,,,
"Brendan Taylor",,,0,,,,,
"Naman Ojha",2,5,11,47,14,21,,
"Parveez Rasool",2,33,3,21,2,34,,
"Amit Mishra",17,72,10,29,12,36,,
"Ashish Reddy",10,27,0,,6,38,,
"Bhuvneshwar Kumar",16,53,14,73,14,61,,
"Chama Milind",,,0,,0,,,
"Dale Steyn",17,73,14,52,6,28,2,17
"Ishant Sharma",16,31,3,33,4,9,,
"Jason Holder",6,22,1,60,,,,
"Karn Sharma",13,45,14,53,14,43,,
"Prasanth Parameswaran",,,0,,,,,
"Pratyush Singh",,,,,0,,,
"Eklavya Dwivedi",,,,,0,,,
"Andrew Tye",,,,,0,,,
"Kyle Abbott",,,,,0,,3,95
"Shreyas Iyer",,,,,13,56,,
"Travis Head",,,,,0,,,
"Angelo Mathews",11,49,,,10,55,3,69
"Marcus Stoinis",,,,,0,,,
"Kona Srikar Bharat",,,,,0,,,
"Domnic Joseph",,,,,6,34,,
"Gurinder Sandhu",,,,,2,14,,
"KK Jiyaz",,,,,0,,,
"Aditya Garhwal",,,,,0,,,
"Azhar Mahmood",11,86,,,1,6,,
"Sumit Narwal",2,24,,,0,,,
"Vaibhav Rawal",,,,,0,,,
"Sheldon Jackson",,,,,0,,,
"Johan Botha",6,49,,,4,41,,
"Brad Hogg",1,4,,,6,66,,
"K.C. Cariappa",,,,,1,13,,
"Yogesh Golwalkar",,,,,0,,,
"Nikhil Shankar Naik",,,,,0,,,
"Aiden Blizzard",,,,,0,,,
"Alex Hales",,,,,0,,3,32
"Colin Munro",,,,,0,,4,32
"Hardik Pandya",,,,,9,43,4,60
"J. Suchitch",,,,,13,43,,
"Nitish Rana",,,,,0,,,
"Siddhesh Dinesh Lad",,,,,0,,,
"Abhimanyu Mithun",1,29,,,0,,,
"Akshay Wakhare",,,,,0,,,
"Mitchell McClenaghan",,,,,12,65,3,74
"Sarfaraz Naushad Khan",,,,,11,13,,
"Shishir Bhavane",,,,,0,,,
"Subramaniam Badrinath",8,21,,,0,,,
"David Wiese",,,,,12,66,3,38
"Adam Milne",,,,,0,,3,57
"Sean Abbott",,,,,2,9,,
"Sreenath Arvind",,,,,5,69,,
"Christopher Morris",16,36,,,11,69,3,81
"Dinesh Salunkhe",,,,,0,,,
"Pardeep Sahu",,,,,0,,,
"Sagar Trivedi",17,40,,,0,,,
"Barinder Singh Saran",,,,,1,3,,
"Juan Theron",,,,,1,22,,
"Eoin Morgan",13,39,,,9,42,4,35
"Hanuma Vihari",17,24,,,5,17,,
"Kane Williamson",,,,,2,36,4,51
"Bipul Sharma",1,60,,,4,34,,
"Prasanth Padmanabhan",,,,,0,,,
"Ravi Bopara",,,,,9,51,,
"Trent Boult",,,,,7,62,,
